Material_Thickness_mm,Press_Type,Pressure_applied_Bar,Operation_time_s,Hydraulic_fluid_level_%,Cylinder_size_cm2,Number_of_strokes,Tooling_Type,Temperature_C,Maintenance_Status,Power_Consumption_kWh
19.352465823520763,Hydraulic,259.6010815480521,44.43219226180925,81.53785182705069,84.96945436355281,9,Custom,60.40449063859391,Due,37.693473831415
47.58500101408589,Pneumatic,121.90465552881253,6.734538957774196,69.9730855083411,90.14735392237796,5,Advanced,42.04944889663943,Up-to-date,17.882308333869915
36.86770314875885,Mechanical,234.07889665836038,5.5004208714527,50.555171172231674,88.09400430045369,4,Custom,48.40029774747887,Due,21.159712218988954
30.334265725654795,Mechanical,421.14137943920457,16.331987572588496,36.45498097564441,182.44609048574543,5,Standard,73.71437093442118,Up-to-date,30.774649599054012
8.64491338167939,Mechanical,101.85280920184114,11.253591446564924,29.710913452752514,145.66620244870273,5,Standard,72.84244222077663,Due,9.16786274465429
8.64373149647393,Mechanical,233.39966867645768,52.563446862347696,69.20103744310933,125.5019906772337,8,Custom,68.16065986757692,Overdue,38.031742163859406
3.8460969962417737,Mechanical,259.26747743637736,14.71441126676657,81.97070245102304,68.7808163939286,8,Custom,48.15964472966101,Overdue,18.94612617423192
43.44263114297183,Mechanical,314.9582411751692,58.600184837509616,71.51234028329046,166.520173002046,2,Advanced,62.85558765869915,Up-to-date,43.68847873027262
30.45463557541723,Mechanical,467.9422465651042,21.539955922724197,62.42417065993266,191.4614971821479,7,Standard,48.338308608722606,Due,46.29450910782043
35.69555631200623,Hydraulic,238.5383977463845,12.562839109944559,23.356097874530903,166.02767368454303,8,Custom,71.52439536086052,Due,23.9738550136482
2.00864022049432,Pneumatic,238.78128075849108,47.80251341426379,97.47910220755071,10.297369986379852,6,Standard,41.180429160138495,Up-to-date,40.15084194854
48.52558275593772,Mechanical,395.00049924389936,40.20505097905082,83.89713533236596,130.91626033484732,5,Custom,78.06529738696699,Due,37.60960110735011
41.78968939922066,Hydraulic,280.88717635592286,30.895351554282062,43.42576293607718,19.715722473999136,9,Standard,75.60097928487704,Up-to-date,38.09323124878082
11.404616423235531,Hydraulic,189.8419291759928,34.21108595438261,98.39762634870806,58.94537186340715,3,Advanced,63.204170264366056,Due,26.33061393301159
9.90942339314793,Pneumatic,280.9758064530773,43.7137031397913,68.15052717090578,21.30969306607662,4,Standard,33.162032471444675,Up-to-date,36.882134039672785
9.986820982818257,Mechanical,156.34280815191994,15.250374997215326,66.59381265657971,124.72113606038367,9,Standard,23.557483271561793,Due,15.03994450216726
15.907869905017348,Pneumatic,170.55479460248932,59.787367131291035,79.84585435436257,140.4520835635953,6,Standard,70.55572425605783,Up-to-date,46.104440358614056
26.713065149979656,Mechanical,299.3471090957919,58.53800340451342,84.941583047211,31.752651232521973,8,Standard,25.744648598967483,Due,39.19868708286718
22.165305913463673,Hydraulic,267.57017980181917,39.71888980812234,72.51828858652021,82.9293877785461,7,Standard,70.52695128482682,Overdue,36.75780348878963
